t x0 y0 x1 y1 x2 y2 vx0 vy0 vx1 vy1 vx2 vy2 
0.53 0.033941 0.00282265 1 0.259355 1.96606 0.00282265 0.120076 0.0148625 2.47025e-17 0.470275 -0.120076 0.0148625 
0.54 0.0351605 0.00297624 1 0.264048 1.96484 0.00297624 0.121946 0.015359 2.77556e-17 0.469282 -0.121946 0.015359 
0.55 0.0363985 0.00313484 1 0.26873 1.9636 0.00313484 0.123798 0.0158603 2.69229e-17 0.468279 -0.123798 0.0158603 
0.56 0.0376548 0.0032985 1 0.273403 1.96235 0.0032985 0.125633 0.016366 2.66454e-17 0.467268 -0.125633 0.016366 
0.57 0.0389293 0.00346726 1 0.278065 1.96107 0.00346726 0.12745 0.016876 2.2482e-17 0.466248 -0.12745 0.016876 
0.58 0.0402218 0.00364116 1 0.282718 1.95978 0.00364116 0.129249 0.0173902 1.52656e-17 0.46522 -0.129249 0.0173902 
0.59 0.0415321 0.00382024 1 0.28736 1.95847 0.00382024 0.131031 0.0179083 1.27676e-17 0.464183 -0.131031 0.0179083 
0.6 0.04286 0.00400454 1 0.291991 1.95714 0.00400454 0.132796 0.0184302 9.15934e-18 0.46314 -0.132796 0.0184302 
0.61 0.0442055 0.0041941 1 0.296612 1.95579 0.0041941 0.134542 0.0189558 5.27356e-18 0.462088 -0.134542 0.0189558 
0.62 0.0455682 0.00438895 1 0.301222 1.95443 0.00438895 0.136272 0.0194848 1.66533e-18 0.46103 -0.136272 0.0194848 
0.63 0.046948 0.00458912 1 0.305822 1.95305 0.00458912 0.137983 0.0200172 -5.55112e-18 0.459966 -0.137983 0.0200172 
0.64 0.0483448 0.00479465 1 0.310411 1.95166 0.00479465 0.139678 0.0205528 -1.66533e-17 0.458894 -0.139678 0.0205528 
0.65 0.0497583 0.00500556 1 0.314989 1.95024 0.00500556 0.141355 0.0210913 -2.35922e-17 0.457817 -0.141355 0.0210913 
0.66 0.0511885 0.00522189 1 0.319556 1.94881 0.00522189 0.143015 0.0216328 -2.69229e-17 0.456734 -0.143015 0.0216328 
0.67 0.0526351 0.00544366 1 0.324113 1.94736 0.00544366 0.144657 0.0221769 -3.19189e-17 0.455646 -0.144657 0.0221769 
